id_producto,categoria,subcategoria,precio,nivel_novedad,popularidad,sostenibilidad
P478,Bienestar,Personal,73.05,72.8,74.8,62.8
P479,Bienestar,Cuidado,134.35,57.0,44.9,57.1
P480,Hogar,Cocina,142.15,46.9,61.8,85.8
P481,Moda,Calzado,50.8,48.5,50.1,57.2
P482,Hogar,Decoración,142.39,56.7,61.0,94.6
P483,Hogar,Cocina,67.0,76.1,48.1,93.2
P484,Bienestar,Personal,119.94,20.7,29.5,93.9
P485,Tecnología,Wearables,47.21,47.8,72.7,87.9
P486,Deporte,Yoga,115.98,67.9,64.8,47.3
P487,Deporte,Fitness,128.53,71.7,79.4,98.0
P488,Tecnología,Wearables,134.81,49.7,92.3,56.5
P489,Tecnología,Audio,351.6,93.4,73.2,38.1
P490,Bienestar,Personal,214.38,67.4,79.8,39.7
P491,Hogar,Iluminación,49.45,56.7,79.6,42.3
P492,Tecnología,Accesorios,45.09,53.6,96.6,75.5
P493,Tecnología,Wearables,178.77,37.0,50.2,95.0
P494,Moda,Casual,229.78,63.9,59.8,84.8
P495,Moda,Accesorios,17.41,93.1,55.1,56.4
P496,Moda,Accesorios,107.74,25.1,66.0,66.2
P497,Deporte,Yoga,21.61,99.7,52.5,48.6
P498,Moda,Urbana,114.89,85.3,47.0,40.8
P499,Tecnología,Wearables,157.2,53.7,55.0,70.4
P500,Tecnología,Accesorios,84.95,24.3,48.5,85.6
